name,movie
Harrison Ford,Extraordinary Measures
Harrison Ford,K-19: The Widowmaker
Harrison Ford,Indiana Jones: The Search for the Lost Golden Age
Albert Bettcher,Some Kind of Wonderful
Albert Bettcher,The Man with One Red Shoe
Albert Bettcher,Breathless
Albert Bettcher,Blade Runner
Albert Bettcher,The Terminal Man
Albert Bettcher,The Graduate
Albert Bettcher,Batgirl
Albert Bettcher,Baby the Rain Must Fall
Albert Bettcher,Don't Knock The Rock
Thomas L. Roysden,Collateral Damage
Thomas L. Roysden,Blue Chips
Thomas L. Roysden,True Romance
Thomas L. Roysden,Sister Act
Thomas L. Roysden,Days of Thunder
Thomas L. Roysden,Dad
Thomas L. Roysden,In Country
Thomas L. Roysden,The Dead Pool
Thomas L. Roysden,Legal Eagles
Thomas L. Roysden,Clue
Thomas L. Roysden,Pee-wee's Big Adventure
Thomas L. Roysden,Perfect
Thomas L. Roysden,A Soldier's Story
Thomas L. Roysden,Iceman
Thomas L. Roysden,Get Crazy
Thomas L. Roysden,Best Friends
Thomas L. Roysden,Blade Runner
Thomas L. Roysden,Barbarosa
Thomas L. Roysden,Cutter's Way
Thomas L. Roysden,Altered States
Thomas L. Roysden,Fun and Games
Thomas L. Roysden,Heart Beat
Thomas L. Roysden,...And Justice for All
Thomas L. Roysden,The Buddy Holly Story
Thomas L. Roysden,Looking for Mr. Goodbar
Thomas L. Roysden,Perfect
Linda DeScenna,Bedtime Stories
Linda DeScenna,Evan Almighty
Linda DeScenna,"Yours, Mine & Ours"
Linda DeScenna,The Pacifier
Linda DeScenna,Bruce Almighty
Linda DeScenna,Bringing Down the House
Linda DeScenna,Dragonfly
Linda DeScenna,Galaxy Quest
Linda DeScenna,Patch Adams
Linda DeScenna,MouseHunt
Linda DeScenna,Liar Liar
Linda DeScenna,A Family Thing
Linda DeScenna,Father of the Bride Part II
Linda DeScenna,Wolf
Linda DeScenna,Jimmy Hollywood
Linda DeScenna,Toys
Linda DeScenna,Honeymoon in Vegas
Linda DeScenna,The Rocketeer
Linda DeScenna,Defending Your Life
Linda DeScenna,Avalon
Linda DeScenna,Back to the Future Part II
Linda DeScenna,Rain Man
Linda DeScenna,Scrooged
Linda DeScenna,Someone to Watch Over Me
Linda DeScenna,Summer School
Linda DeScenna,Harry and the Hendersons
Linda DeScenna,Back to School
Linda DeScenna,The Color Purple
Linda DeScenna,The Goonies
Linda DeScenna,The Falcon and the Snowman
Linda DeScenna,The Adventures of Buckaroo Banzai Across the 8th Dimension
Linda DeScenna,The Lonely Guy
Linda DeScenna,Brainstorm
Linda DeScenna,Blade Runner
Linda DeScenna,Fatso
Linda DeScenna,Star Trek: The Motion Picture
